word,stem,morphemes
abszolút,abszolút,ADV
abszolúte,abszolúte,ADV
addig-ameddig,addig-ameddig,ADV
addiglan,addiglan,ADV
addigra,addigra,ADV
agyba-főbe,agyba-főbe,ADV
agyonra,agyonra,ADV
ahogy,ahogy,ADV
ahogyan,ahogyan,ADV
ahol,ahol,ADV
ahonnan,ahonnan,ADV
ahonnét,ahonnét,ADV
ahova,ahova,ADV
ahová,ahová,ADV
ajkbiggyesztve,ajkbiggyesztve,ADV
akaratlan,akaratlan,ADV
akaratlanul,akaratlanul,ADV
akarva-akaratlan,akarva-akaratlan,ADV
akarva-akaratlanul,akarva-akaratlanul,ADV
akkor,akkor,ADV
akkoriban,akkoriban,ADV
akkoron,akkoron,ADV
akkorra,akkorra,ADV
akkorról,akkorról,ADV
akkortájban,akkortájban,ADV
akkortájt,akkortájt,ADV
akkortól,akkortól,ADV
akkorára,akkorára,ADV
akképp,akképp,ADV
akképpen,akképpen,ADV
akár,akár,ADV
akár,akár,ADV
akárcsak,akárcsak,ADV
akárhogy,akárhogy,ADV
akárhogyan,akárhogyan,ADV
akárhol,akárhol,ADV
akárhonnan,akárhonnan,ADV
akárhonnét,akárhonnét,ADV
akárhova,akárhova,ADV
akárhová,akárhová,ADV
akármeddig,akármeddig,ADV
akármennyien,akármennyien,ADV
akármennyire,akármennyire,ADV
akármerre,akármerre,ADV
akármerről,akármerről,ADV
akármikor,akármikor,ADV
akármily,akármily,ADV
akármilyen,akármilyen,ADV
akármint,akármint,ADV
akármiért,akármiért,ADV
alant,alant,ADV
alantabb,alantabb,ADV
alapvetően,alapvetően,ADV
alattomban,alattomban,ADV
alig,alig,ADV
alig-alig,alig-alig,ADV
aligha,aligha,ADV
aljára,aljára,ADV
aljáról,aljáról,ADV
alkalmasint,alkalmasint,ADV
alkalomadtán,alkalomadtán,ADV
alkonyattájban,alkonyattájban,ADV
alkonyattájt,alkonyattájt,ADV
alkonytájban,alkonytájban,ADV
alkonytájt,alkonytájt,ADV
allegro,allegro,ADV
aludtában,aludtában,ADV
alul,alul,ADV
alulra,alulra,ADV
alulról,alulról,ADV
alább,alább,ADV
aláfelé,aláfelé,ADV
ameddig,ameddig,ADV
amennyien,amennyien,ADV
amennyire,amennyire,ADV
amerre,amerre,ADV
amerről,amerről,ADV
amettől,amettől,ADV
amikor,amikor,ADV
amikorra,amikorra,ADV
amikorról,amikorról,ADV
amikortól,amikortól,ADV
amily,amily,ADV
amilyen,amilyen,ADV
amint,amint,ADV
amiért,amiért,ADV
amióta,amióta,ADV
amoda,amoda,ADV
amonnan,amonnan,ADV
amonnét,amonnét,ADV
amott,amott,ADV
amottan,amottan,ADV
amúgy,amúgy,ADV
amúgyis,amúgyis,ADV
amúgysem,amúgysem,ADV
andante,andante,ADV
anno,anno,ADV
annyiban,annyiban,ADV
annyiból,annyiból,ADV
annyira,annyira,ADV
annyira-amennyire,annyira-amennyire,ADV
annál,annál,ADV
apriori,apriori,ADV
apránként,apránként,ADV
apródonként,apródonként,ADV
arra,arra,ADV
arrafele,arrafele,ADV
arrafelé,arrafelé,ADV
arrább,arrább,ADV
arrébb,arrébb,ADV
aránylag,aránylag,ADV
azalatt,azalatt,ADV
azelőtt,azelőtt,ADV
aznap,aznap,ADV
azonfelül,azonfelül,ADV
azonképp,azonképp,ADV
azonképpen,azonképpen,ADV
azonkívül,azonkívül,ADV
azonközben,azonközben,ADV
azonmód,azonmód,ADV
azonnal,azonnal,ADV
azontúl,azontúl,ADV
azsúr,azsúr,ADV
aztán,aztán,ADV
azúton,azúton,ADV
biztos,biztos,ADV
balkézről,balkézről,ADV
baloldalt,baloldalt,ADV
balra,balra,ADV
balrább,balrább,ADV
baromi,baromi,ADV
baromira,baromira,ADV
baszom,baszom,ADV
baszott,baszott,ADV
be,be,ADV
becsszó,becsszó,ADV
becsszóra,becsszóra,ADV
befele,befele,ADV
befelé,befelé,ADV
behatóan,behatóan,ADV
behatólag,behatólag,ADV
bejövet,bejövet,ADV
beljebb,beljebb,ADV
belsőleg,belsőleg,ADV
belül,belül,ADV
belülre,belülre,ADV
belülről,belülről,ADV
bemenet,bemenet,ADV
benn,benn,ADV
bensőleg,bensőleg,ADV
bent,bent,ADV
bentebb,bentebb,ADV
bentebbről,bentebbről,ADV
bentre,bentre,ADV
bentről,bentről,ADV
biz,biz,ADV
biza,biza,ADV
bizisten,bizisten,ADV
bizistók,bizistók,ADV
bizonnyal,bizonnyal,ADV
bizony,bizony,ADV
bizonyosan,bizonyosan,ADV
bizonyára,bizonyára,ADV
bizton,bizton,ADV
biztos,biztos,ADV
blindre,blindre,ADV
bomlófélben,bomlófélben,ADV
borzasztó,borzasztó,ADV
borzasztóan,borzasztóan,ADV
bruttó,bruttó,ADV
bántólag,bántólag,ADV
bárhogy,bárhogy,ADV
bárhogyan,bárhogyan,ADV
bárhol,bárhol,ADV
bárhonnan,bárhonnan,ADV
bárhonnét,bárhonnét,ADV
bárhova,bárhova,ADV
bárhová,bárhová,ADV
bármeddig,bármeddig,ADV
bármennyien,bármennyien,ADV
bármennyire,bármennyire,ADV
bármerre,bármerre,ADV
bármerről,bármerről,ADV
bármikor,bármikor,ADV
bármikorra,bármikorra,ADV
bármily,bármily,ADV
bármilyen,bármilyen,ADV
bármint,bármint,ADV
bármiért,bármiért,ADV
bátorítólag,bátorítólag,ADV
bénítólag,bénítólag,ADV
bérmentve,bérmentve,ADV
bévül,bévül,ADV
bíz,bíz,ADV
bíztatólag,bíztatólag,ADV
bízvást,bízvást,ADV
bőven,bőven,ADV
bővében,bővében,ADV
büntetlen,büntetlen,ADV
büntetlenül,büntetlenül,ADV
csak,csak,ADV
csak,csak,ADV
caklipakli,caklipakli,ADV
cakompakk,cakompakk,ADV
cakpakk,cakpakk,ADV
cigányútra,cigányútra,ADV
cirka,cirka,ADV
csak,csak,ADV
csupán,csupán,ADV
csak,csak,ADV
csak,csak,ADV
csak-csak,csak-csak,ADV
csakhamar,csakhamar,ADV
csakis,csakis,ADV
csaknem,csaknem,ADV
csakugyan,csakugyan,ADV
csakúgy,csakúgy,ADV
csapatostul,csapatostul,ADV
csehül,csehül,ADV
csodamód,csodamód,ADV
csordultig,csordultig,ADV
csuda,csuda,ADV
csupa,csupa,ADV
csupán,csupán,ADV
csupáncsak,csupáncsak,ADV
csurig,csurig,ADV
csurom,csurom,ADV
csábítólag,csábítólag,ADV
csőstül,csőstül,ADV
csöppet,csöppet,ADV
céltalan,céltalan,ADV
céltalanul,céltalanul,ADV
de,de,ADV
dafke,dafke,ADV
de,de,ADV
de.,délelőtt,ADV
degeszre,degeszre,ADV
dehogy,dehogy,ADV
dehogyis,dehogyis,ADV
dehogyisnem,dehogyisnem,ADV
dehogynem,dehogynem,ADV
derűre-borúra,derűre-borúra,ADV
dettó,dettó,ADV
direkt,direkt,ADV
direkte,direkte,ADV
dolgavégezetlen,dolgavégezetlen,ADV
dolgavégezetlenül,dolgavégezetlenül,ADV
doszt,doszt,ADV
dosztig,dosztig,ADV
du.,délután,ADV
dugig,dugig,ADV
délben,délben,ADV
délelőtt,délelőtt,ADV
délen,délen,ADV
délig,délig,ADV
délnek,délnek,ADV
délre,délre,ADV
déltájban,déltájban,ADV
déltájon,déltájon,ADV
déltájt,déltájt,ADV
délután,délután,ADV
dögivel,dögivel,ADV
egy,egy,ADV
el,el,ADV
eddig,eddig,ADV
eddigelé,eddigelé,ADV
egy,egy,ADV
egyaránt,egyaránt,ADV
egybehangzóan,egybehangzóan,ADV
egybehangzólag,egybehangzólag,ADV
egyben,egyben,ADV
egyből,egyből,ADV
egyedül,egyedül,ADV
egyebünnen,egyebünnen,ADV
egyebütt,egyebütt,ADV
egyebüvé,egyebüvé,ADV
egyedileg,egyedileg,ADV
egyedül,egyedül,ADV
egyelőre,egyelőre,ADV
egyenesen,egyenesen,ADV
egyenesen,egyenesen,ADV
egyenest,egyenest,ADV
egyenként,egyenként,ADV
egyenlőképp,egyenlőképp,ADV
egyenlőképpen,egyenlőképpen,ADV
egyenlőre,egyenlőre{orth:substandard},ADV
egyes-egyedül,egyes-egyedül,ADV
egyet,egyet,ADV
egyetemleg,egyetemleg,ADV
egyfelé,egyfelé,ADV
egyfelől,egyfelől,ADV
egyfolytában,egyfolytában,ADV
egyformán,egyformán,ADV
egyhamar,egyhamar,ADV
egyhangúan,egyhangúan,ADV
egyhangúlag,egyhangúlag,ADV
egyhuzamban,egyhuzamban,ADV
egyhúztomban,egyhúztomban,ADV
egyidejűleg,egyidejűleg,ADV
egyidejűleg,egyidejűleg,ADV
egykettő,egykettő,ADV
egykettőre,egykettőre,ADV
egykor,egykor,ADV
egykoron,egykoron,ADV
egyként,egyként,ADV
egyképp,egyképp,ADV
egyképpen,egyképpen,ADV
egykönnyen,egykönnyen,ADV
egynémelykor,egynémelykor,ADV
egyoldalúan,egyoldalúan,ADV
egyoldalúlag,egyoldalúlag,ADV
egyre,egyre,ADV
egyre-másra,egyre-másra,ADV
egyrészről,egyrészről,ADV
egyszer,egyszer,ADV
egyszer-egyszer,egyszer-egyszer,ADV
egyszer-kétszer,egyszer-kétszer,ADV
egyszer-máskor,egyszer-máskor,ADV
egyszer-másszor,egyszer-másszor,ADV
egyszercsak,egyszercsak,ADV
egyszeribe,egyszeribe,ADV
egyszeriben,egyszeriben,ADV
egyszerre,egyszerre,ADV
egyszersmind,egyszersmind,ADV
egyszerűen,egyszerűen,ADV
egyszóval,egyszóval,ADV
egyvalahová,egyvalahová,ADV
egyvalamiért,egyvalamiért,ADV
egyvégben,egyvégben,ADV
egyvégtében,egyvégtében,ADV
egyáltalában,egyáltalában,ADV
egyáltalán,egyáltalán,ADV
egyébkor,egyébkor,ADV
egyénileg,egyénileg,ADV
egyúttal,egyúttal,ADV
együtt,együtt,ADV
együttvéve,együttvéve,ADV
együvé,együvé,ADV
egész,egész,ADV
egészen,egészen,ADV
ehejt,ehejt,ADV
ehelyt,ehelyt,ADV
ehelyütt,ehelyütt,ADV
ehol,ehol,ADV
ehun,ehun,ADV
ekkor,ekkor,ADV
ekkoriban,ekkoriban,ADV
ekkoron,ekkoron,ADV
ekkorra,ekkorra,ADV
ekkorról,ekkorról,ADV
ekkortájban,ekkortájban,ADV
ekkortájt,ekkortájt,ADV
ekkortól,ekkortól,ADV
ekkorára,ekkorára,ADV
ekképp,ekképp,ADV
ekképpen,ekképpen,ADV
el,el,ADV
eladdig,eladdig,ADV
elannyira,elannyira,ADV
elbaszott,elbaszott,ADV
eleddig,eleddig,ADV
eleget,eleget,ADV
eleinte,eleinte,ADV
eleintén,eleintén,ADV
elejbe,elejbe,ADV
elejére,elejére,ADV
elejéről,elejéről,ADV
eleve,eleve,ADV
elfele,elfele,ADV
elfelé,elfelé,ADV
elibe,elibe,ADV
elmarasztalólag,elmarasztalólag,ADV
elmenet,elmenet,ADV
elméletileg,elméletileg,ADV
elragadtatva,elragadtatva,ADV
elsőbben,elsőbben,ADV
elsősorban,elsősorban,ADV
elutasítólag,elutasítólag,ADV
elvileg,elvileg,ADV
elvágólag,elvágólag,ADV
elvétve,elvétve,ADV
előbb,előbb,ADV
elébb,elébb,ADV
elég,elég,ADV
eléggé,eléggé,ADV
elégszer,elégszer,ADV
előbb,előbb,ADV
előbb-utóbb,előbb-utóbb,ADV
előbbiekben,előbbiekben,ADV
előbbre,előbbre,ADV
előbbről,előbbről,ADV
előre,előre,ADV
előre-hátra,előre-hátra,ADV
előrefele,előrefele,ADV
előrefelé,előrefelé,ADV
előreláthatólag,előreláthatólag,ADV
előrébb,előrébb,ADV
először,először,ADV
előzőekben,előzőekben,ADV
előzőleg,előzőleg,ADV
elöl,elöl,ADV
elöl-hátul,elöl-hátul,ADV
elölre,elölre,ADV
elölről,elölről,ADV
elül,elül,ADV
elül-hátul,elül-hátul,ADV
elülről,elülről,ADV
emberileg,emberileg,ADV
emide,emide,ADV
eminnen,eminnen,ADV
emitt,emitt,ADV
emitten,emitten,ADV
emígy,emígy,ADV
ennyire,ennyire,ADV
eredetileg,eredetileg,ADV
erre,erre,ADV
erre-arra,erre-arra,ADV
errefele,errefele,ADV
errefelé,errefelé,ADV
errébb,errébb,ADV
esetleg,esetleg,ADV
este,este,ADV
estefele,estefele,ADV
estefelé,estefelé,ADV
estenden,estenden,ADV
esténként,esténként,ADV
evégre,evégre,ADV
explicite,explicite,ADV
expressz,expressz,ADV
ezalatt,ezalatt,ADV
ezelőtt,ezelőtt,ADV
ezenfelül,ezenfelül,ADV
