word,stem,morphemes
addig,addig,CONJ
addig-addig,addig-addig,CONJ
addigis,addigis,CONJ
akár,akár,CONJ
akárha,akárha,CONJ
alighanem,alighanem,CONJ
alighogy,alighogy,CONJ
amennyiben,amennyiben,CONJ
amidőn,amidőn,CONJ
amikor,amikor,CONJ
amikoris,amikoris,CONJ
amint,amint,CONJ
aminthogy,aminthogy,CONJ
amire,amire,CONJ
amiért,amiért,CONJ
amíg,amíg,CONJ
amúgyis,amúgyis,CONJ
amúgyse,amúgyse,CONJ
amúgysem,amúgysem,CONJ
annálfogva,annálfogva,CONJ
annálinkább,annálinkább,CONJ
apropó,apropó,CONJ
avagy,avagy,CONJ
azaz,azaz,CONJ
azazhogy,azazhogy,CONJ
azokután,azokután{orth:substandard},CONJ
azonban,azonban,CONJ
aztán,aztán,CONJ
azután,azután,CONJ
azzal,azzal,CONJ
azáltal,azáltal,CONJ
azért,azért,CONJ
azértis,azértis,CONJ
bezzeg,bezzeg,CONJ
bár,bár,CONJ
bár,bár,CONJ
bárcsak,bárcsak,CONJ
bárha,bárha,CONJ
bátor,bátor,CONJ
csakhogy,csakhogy,CONJ
de,de,CONJ
de,de,CONJ
dejszen,dejszen,CONJ
egyben,egyben,CONJ
egyrészt,egyrészt,CONJ
egyszersmind,egyszersmind,CONJ
egyébiránt,egyébiránt,CONJ
egyébként,egyébként,CONJ
egyébkéntis,egyébkéntis{orth:substandard},CONJ
ellenben,ellenben,CONJ
ellenesetben,ellenesetben,CONJ
ellenkezőleg,ellenkezőleg,CONJ
elsősorban,elsősorban,CONJ
elvégre,elvégre,CONJ
előszöris,előszöris,CONJ
elöljáróban,elöljáróban,CONJ
emellett,emellett,CONJ
ennélfogva,ennélfogva,CONJ
ergo,ergo,CONJ
eszerint,eszerint,CONJ
ezekután,ezekután{orth:substandard},CONJ
ezesetben,ezesetben,CONJ
ezután,ezután,CONJ
ezzelegyütt,ezzelegyütt{orth:substandard},CONJ
ezáltal,ezáltal,CONJ
ezért,ezért,CONJ
ezértis,ezértis,CONJ
feltéve,feltéve,CONJ
ha,ha,CONJ
hogy,hogy,CONJ
ha,ha,CONJ
habár,habár,CONJ
hacsak,hacsak,CONJ
hacsaknem,hacsaknem,CONJ
hadd,hadd,CONJ
haggyán,haggyán,CONJ
hagy,hagy,CONJ
hagyján,hagyján,CONJ
hahogy,hahogy,CONJ
hanem,hanem,CONJ
hanemha,hanemha,CONJ
hisz,hisz,CONJ
hiszen,hiszen,CONJ
hogyha,hogyha,CONJ
hogy,hogy,CONJ
hogyha,hogyha,CONJ
hogyhát,hogyhát,CONJ
hogysem,hogysem,CONJ
holott,holott,CONJ
hovatovább,hovatovább,CONJ
hát,hát,CONJ
hát,hát,CONJ
hátha,hátha,CONJ
hátha,hátha,CONJ
ideértve,ideértve,CONJ
ill.,illetve,CONJ
illetve,illetve,CONJ
illetőleg,illetőleg,CONJ
ilyenmódon,ilyenmódon,CONJ
jelesen,jelesen,CONJ
jelesül,jelesül,CONJ
jóllehet,jóllehet,CONJ
kvázi,kvázi,CONJ
következésképpen,következésképpen,CONJ
különben,különben,CONJ
különbenis,különbenis{orth:substandard},CONJ
legalábbis,legalábbis,CONJ
lévén,lévén,CONJ
magyarul,magyarul,CONJ
magyarán,magyarán,CONJ
maximum,maximum,CONJ
mert,mert,CONJ
meg,meg,CONJ
mellesleg,mellesleg,CONJ
mennél,mennél,CONJ
mert,mert,CONJ
merthogy,merthogy,CONJ
mialatt,mialatt,CONJ
midőn,midőn,CONJ
mielőtt,mielőtt,CONJ
mihelyst,mihelyst,CONJ
mihelyt,mihelyt,CONJ
mikor,mikor,CONJ
mikoris,mikoris,CONJ
mind,mind,CONJ
mindamellett,mindamellett,CONJ
mindazonáltal,mindazonáltal,CONJ
mindazáltal,mindazáltal,CONJ
mindemellett,mindemellett,CONJ
mindenekfelett,mindenekfelett,CONJ
minekelőtte,minekelőtte,CONJ
minekutána,minekutána,CONJ
mint,mint,CONJ
mintha,mintha,CONJ
minthogy,minthogy,CONJ
minthogyha,minthogyha,CONJ
mintsem,mintsem,CONJ
minél,minél,CONJ
minélfogva,minélfogva,CONJ
mire,mire,CONJ
miszerint,miszerint,CONJ
miután,miután,CONJ
mivel,mivel,CONJ
mivelhogy,mivelhogy,CONJ
miáltal,miáltal,CONJ
mármint,mármint,CONJ
mármost,mármost,CONJ
márpedig,márpedig,CONJ
máskülönben,máskülönben,CONJ
másodsorban,másodsorban,CONJ
másrészről,másrészről,CONJ
másrészt,másrészt,CONJ
méghozzá,méghozzá,CONJ
mégis,mégis,CONJ
mégpedig,mégpedig,CONJ
míg,míg,CONJ
mígnem,mígnem,CONJ
nade,nade,CONJ
namármost,namármost,CONJ
nehogy,nehogy,CONJ
nemcsak,nemcsak,CONJ
nemcsak,nemcsak,CONJ
nemde,nemde,CONJ
nemdebár,nemdebár,CONJ
nemhogy,nemhogy,CONJ
noha,noha,CONJ
nohát,nohát,CONJ
oszt,oszt,CONJ
pedig,pedig,CONJ
pediglen,pediglen,CONJ
persze,persze,CONJ
pl.,például,CONJ
plusz,plusz,CONJ
ráadásul,ráadásul,CONJ
ráadásul,ráadásul,CONJ
részben,részben,CONJ
részint,részint,CONJ
s,s,CONJ
satöbbi,satöbbi{orth:substandard},CONJ
semhogy,semhogy,CONJ
semmint,semmint,CONJ
speciel,speciel,CONJ
stb.,satöbbi{orth:substandard},CONJ
szóval,szóval,CONJ
sőt,sőt,CONJ
tehát,tehát,CONJ
tehátlan,tehátlan,CONJ
természetesen,természetesen,CONJ
továbbá,továbbá,CONJ
tudniillik,tudniillik,CONJ
tulajdonképp,tulajdonképp,CONJ
tulajdonképpen,tulajdonképpen,CONJ
történetesen,történetesen,CONJ
ugyan,ugyan,CONJ
ugyancsak,ugyancsak,CONJ
ugyanis,ugyanis,CONJ
ugye,ugye,CONJ
ugyebár,ugyebár,CONJ
utóvégre,utóvégre,CONJ
vagy,vagy,CONJ
vagy,vagy,CONJ
vagy,vagy,CONJ
vagyis,vagyis,CONJ
vagyishogy,vagyishogy,CONJ
vajh,vajh,CONJ
vajon,vajon,CONJ
valamint,valamint,CONJ
valamint,valamint,CONJ
viszont,viszont,CONJ
viszontag,viszontag,CONJ
voltaképpen,voltaképpen,CONJ
végezetül,végezetül,CONJ
végtére,végtére,CONJ
végülis,végülis,CONJ
ám,ám,CONJ
ámbár,ámbár,CONJ
ámde,ámde,CONJ
ám,ám,CONJ
ámbár,ámbár,CONJ
ámbátor,ámbátor,CONJ
ámde,ámde,CONJ
és,és,CONJ
éspedig,éspedig,CONJ
és,és,CONJ
ésatöbbi,ésatöbbi,CONJ
éspedig,éspedig,CONJ
így,így,CONJ
így,így,CONJ
úgyhogy,úgyhogy,CONJ
úgyis,úgyis,CONJ
úgymint,úgymint,CONJ
úgynevezett,úgynevezett,CONJ
úgyde,úgyde,CONJ
úgyhogy,úgyhogy,CONJ
úgyis,úgyis,CONJ
úgymint,úgymint,CONJ
úgynevezett,úgynevezett,CONJ
úgysem,úgysem,CONJ
úgyszintén,úgyszintén,CONJ
ám,ám,CONJ
ám,ám,CONJ
ámbár,ámbár,CONJ
ámbátor,ámbátor,CONJ
ámde,ámde,CONJ
és,és,CONJ
és,és,CONJ
ésatöbbi,ésatöbbi,CONJ
éspedig,éspedig,CONJ
így,így,CONJ
úgyhogy,úgyhogy,CONJ
úgyis,úgyis,CONJ
úgymint,úgymint,CONJ
úgynevezett,úgynevezett,CONJ
úgysem,úgysem,CONJ
úgyszintén,úgyszintén,CONJ
