word,stem,morphemes
ahányan,ahány,NUM[AGGREG]
akárhanyan,akárhány,NUM[AGGREG]
akárhányan,akárhány,NUM[AGGREG]
annyian,annyi,NUM[AGGREG]
bárhányan,bárhány,NUM[AGGREG]
csomóan,csomó,NUM[AGGREG]
egyen,egy,NUM[AGGREG]
egynéhányan,egynéhány,NUM[AGGREG]
egypáran,egypár,NUM[AGGREG]
ennyien,ennyi,NUM[AGGREG]
ezren,ezer,NUM[AGGREG]
feleannyian,feleannyi,NUM[AGGREG]
feleennyien,feleennyi,NUM[AGGREG]
félannyian,félannyi,NUM[AGGREG]
hanyan,hány,NUM[AGGREG]
harmincan,harminc,NUM[AGGREG]
hatan,hat,NUM[AGGREG]
hatvanan,hatvan,NUM[AGGREG]
heten,hét,NUM[AGGREG]
hetvenen,hetven,NUM[AGGREG]
hányan,hány,NUM[AGGREG]
húszan,húsz,NUM[AGGREG]
jónéhányan,jónéhány,NUM[AGGREG]
kevesen,kevés,NUM[AGGREG]
kilencen,kilenc,NUM[AGGREG]
kismillióan,kismillió,NUM[AGGREG]
kétannyian,kétannyi,NUM[AGGREG]
megannyian,megannyi,NUM[AGGREG]
milliárdan,milliárd,NUM[AGGREG]
millióan,millió,NUM[AGGREG]
mindahányan,mindahány,NUM[AGGREG]
másfelen,másfél,NUM[AGGREG]
negyvenen,negyven,NUM[AGGREG]
nyolcan,nyolc,NUM[AGGREG]
nyolcvanan,nyolcvan,NUM[AGGREG]
négyen,négy,NUM[AGGREG]
néhányan,néhány,NUM[AGGREG]
rengetegen,rengeteg,NUM[AGGREG]
sehányan,sehány,NUM[AGGREG]
sokan,sok,NUM[AGGREG]
számosan,számos,NUM[AGGREG]
százan,száz,NUM[AGGREG]
tengernyien,tengernyi,NUM[AGGREG]
tízen,tíz,NUM[AGGREG]
ugyanannyian,ugyanannyi,NUM[AGGREG]
ugyanennyien,ugyanennyi,NUM[AGGREG]
valahányan,valahány,NUM[AGGREG]
öten,öt,NUM[AGGREG]
öten,öt,NUM[AGGREG]
öten,öt,NUM[AGGREG]
édeskevesen,édeskevés,NUM[AGGREG]
öten,öt,NUM[AGGREG]
ötvenen,ötven,NUM[AGGREG]
