,word,regular,aggreg,multipl,order,iter
0,hatvanadszorra,0,0,0,0,1
1,akárhanyan,0,1,0,0,0
2,hét,1,0,0,0,0
3,billiárdan,0,1,0,0,0
4,sokmilliomodik,0,0,0,1,0
5,akárhányadik,0,0,0,1,0
6,számos,1,0,0,0,0
7,nyolcadik,0,0,0,1,0
8,nyolcvanhetedik,0,0,0,1,0
9,ötödik,0,0,0,1,0
10,tizennegyedszerre,0,0,0,0,1
11,többezer,1,0,0,0,0
12,ennyi,1,0,0,0,0
13,bárhány,1,0,0,0,0
14,billiárdszorta,0,0,1,0,0
15,harmadik,0,0,0,1,0
16,többtrilliárd,1,0,0,0,0
17,nyolc,1,0,0,0,0
18,sokadik,0,0,0,1,0
19,annyiszorta,0,0,1,0,0
20,sok,1,0,0,0,0
21,huszonnegyedik,0,0,0,1,0
22,tizennegyedszerte,0,0,1,0,0
23,kilencen,0,1,0,0,0
24,hanyan,0,1,0,0,0
25,többtrillárdadik,0,0,0,1,0
26,sokszázmillióan,0,1,0,0,0
27,billiárd,1,0,0,0,0
28,heten,0,1,0,0,0
29,jónéhány,1,0,0,0,0
30,hetedik,0,0,0,1,0
31,egynéhány,1,0,0,0,0
32,feleannyi,1,0,0,0,0
33,kilencvenöt,1,0,0,0,0
34,édeskevés,1,0,0,0,0
35,megannyi,1,0,0,0,0
36,másfél,1,0,0,0,0
37,többmilliomodik,0,0,0,1,0
38,negyvenhatodszorra,0,0,0,0,1
39,akárhány,1,0,0,0,0
40,sokmillárdadik,0,0,0,1,0
41,ötvenegyedik,0,0,0,1,0
42,billiomodik,0,0,0,1,0
43,ezredik,0,0,0,1,0
44,akárhányadszorra,0,0,0,0,1
45,háromszorta,0,0,1,0,0
46,hatvanharmadik,0,0,0,1,0
47,kilencszerte,0,0,1,0,0
48,trilliárdszorta,0,0,1,0,0
49,huszadszorra,0,0,0,0,1
50,trillárdadik,0,0,0,1,0
51,negyvenhatdoszorta,0,0,1,0,0
52,harmicnyolc,1,0,0,0,0
53,harvanhárom,1,0,0,0,0
54,századszorra,0,0,0,0,1
55,hatvanegyedszerte,0,0,1,0,0
56,annyian,0,1,0,0,0
57,második,0,0,0,1,0
58,ugyanannyi,1,0,0,0,0
59,néhány,1,0,0,0,0
60,harmincan,0,1,0,0,0
61,másodszorra,0,0,0,0,1
62,sokmilió,1,0,0,0,0
63,jónéhányan,0,1,0,0,0
64,hetvenkettedszerte,0,0,1,0,0
65,többmilliárd,1,0,0,0,0
66,trillióan,0,1,0,0,0
67,jópáran,0,1,0,0,0
68,ugyanennyien,0,1,0,0,0
