word,stem,morphemes
akárhányadszorra,akárhány,NUM[ORD-ITER-ACCOMPL]
hanyadszorra,hány,NUM[ORD-ITER-ACCOMPL]
harmadszorra,három,NUM[ORD-ITER-ACCOMPL]
harmincadszorra,harminc,NUM[ORD-ITER-ACCOMPL]
hatodszorra,hat,NUM[ORD-ITER-ACCOMPL]
hatvanadszorra,hatvan,NUM[ORD-ITER-ACCOMPL]
huszadszorra,húsz,NUM[ORD-ITER-ACCOMPL]
hányadszorra,hány,NUM[ORD-ITER-ACCOMPL]
milliomodszorra,millió,NUM[ORD-ITER-ACCOMPL]
másodszorra,kettő,NUM[ORD-ITER-ACCOMPL]
nyolcadszorra,nyolc,NUM[ORD-ITER-ACCOMPL]
sokadszorra,sok,NUM[ORD-ITER-ACCOMPL]
századszorra,száz,NUM[ORD-ITER-ACCOMPL]
