word,stem,morphemes
bee,bee,ONO
brekeke,brekeke,ONO
brr,brr,ONO
bruhaha,bruhaha,ONO
brumm-brumm,brumm-brumm,ONO
bumm,bumm,ONO
bú,bú,ONO
c,c,ONO
cic,cic,ONO
cicic,cicic,ONO
csatt,csatt,ONO
csinn-bumm,csinn-bumm,ONO
csirip,csirip,ONO
csitt-csatt,csitt-csatt,ONO
dirr,dirr,ONO
dirr-durr,dirr-durr,ONO
durr,durr,ONO
giling-galang,giling-galang,ONO
hah,hah,ONO
haha,haha,ONO
hahaha,hahaha,ONO
heh,heh,ONO
hehe,hehe,ONO
hehehe,hehehe,ONO
hihi,hihi,ONO
hihihi,hihihi,ONO
háp-háp,háp-háp,ONO
höhö,höhö,ONO
höhöhö,höhöhö,ONO
iá,iá,ONO
kakukk,kakukk,ONO
kipp,kipp,ONO
kipp-kopp,kipp-kopp,ONO
kitty-kotty,kitty-kotty,ONO
kopp,kopp,ONO
kopp-kopp,kopp-kopp,ONO
kotkodács,kotkodács,ONO
kotty,kotty,ONO
kuc-kuc,kuc-kuc,ONO
kukk,kukk,ONO
kukurikú,kukurikú,ONO
kurutty,kurutty,ONO
kutykurutty,kutykurutty,ONO
kár-kár,kár-kár,ONO
lalala,lalala,ONO
mek-mek,mek-mek,ONO
miau,miau,ONO
nyekk,nyekk,ONO
nyihaha,nyihaha,ONO
oá,oá,ONO
paff,paff,ONO
picsi-pacsi,picsi-pacsi,ONO
piff,piff,ONO
piff-paff,piff-paff,ONO
piff-puff,piff-puff,ONO
pipi,pipi,ONO
potty,potty,ONO
puff,puff,ONO
püff,püff,ONO
reccs,reccs,ONO
röf-röf,röf-röf,ONO
sipp-supp,sipp-supp,ONO
sutty,sutty,ONO
tam-tam,tam-tam,ONO
tik-tak,tik-tak,ONO
trotty,trotty,ONO
tyutyu,tyutyu,ONO
tánci-tánci,tánci-tánci,ONO
töf-töf,töf-töf,ONO
tütü,tütü,ONO
u,u,ONO
vau-vau,vau-vau,ONO
zsipp-zsupp,zsipp-zsupp,ONO
zsupp,zsupp,ONO
zsupsz,zsupsz,ONO
zupp,zupp,ONO
zutty,zutty,ONO
züm-züm,züm-züm,ONO
ú,ú,ONO
ú,ú,ONO
