word,stem,morphemes
adódóan,adódóan,POSTP
alapján,alapján,POSTP
alatt,alatt,POSTP
alul,alul,POSTP
alá,alá,POSTP
alól,alól,POSTP
bekövetkeztével,bekövetkeztével,POSTP
belül,belül,POSTP
bezárólag,bezárólag,POSTP
beálltával,beálltával,POSTP
dacára,dacára,POSTP
elől,elől,POSTP
egyetemben,egyetemben,POSTP
egyidőben,egyidőben,POSTP
együtt,együtt,POSTP
ellen,ellen,POSTP
ellentétben,ellentétben,POSTP
ellenébe,ellenébe,POSTP
ellenében,ellenében,POSTP
ellenére,ellenére,POSTP
elmúltával,elmúltával,POSTP
elteltével,elteltével,POSTP
eltérően,eltérően,POSTP
előtt,előtt,POSTP
elé,elé,POSTP
elől,elől,POSTP
előrehaladtával,előrehaladtával,POSTP
előtt,előtt,POSTP
eredményeképpen,eredményeképpen,POSTP
eredően,eredően,POSTP
erejéig,erejéig,POSTP
esetén,esetén,POSTP
esetén,esetén,POSTP
ezelőtt,ezelőtt,POSTP
fakadóan,fakadóan,POSTP
fakadólag,fakadólag,POSTP
fejében,fejében,POSTP
fele,fele,POSTP
felett,felett,POSTP
felé,felé,POSTP
felé,felé,POSTP
felől,felől,POSTP
felül,felül,POSTP
fogva,fogva,POSTP
fogvást,fogvást,POSTP
folyamán,folyamán,POSTP
folytán,folytán,POSTP
folyólag,folyólag,POSTP
fölé,fölé,POSTP
fölött,fölött,POSTP
fölül,fölül,POSTP
függetlenül,függetlenül,POSTP
függően,függően,POSTP
gyanánt,gyanánt,POSTP
hallatán,hallatán,POSTP
hallatára,hallatára,POSTP
helyett,helyett,POSTP
hiányában,hiányában,POSTP
hosszat,hosszat,POSTP
hála,hála,POSTP
hála,hála,POSTP
híján,híján,POSTP
illetően,illetően,POSTP
indíttatva,indíttatva,POSTP
innen,innen,POSTP
iránt,iránt,POSTP
jóvoltából,jóvoltából,POSTP
kapcsán,kapcsán,POSTP
keresztül,keresztül,POSTP
kezdve,kezdve,POSTP
kifolyólag,kifolyólag,POSTP
képest,képest,POSTP
kívül,kívül,POSTP
köré,köré,POSTP
körül,körül,POSTP
köszönhetően,köszönhetően,POSTP
következtében,következtében,POSTP
következőleg,következőleg,POSTP
követően,követően,POSTP
közben,közben,POSTP
közeledtével,közeledtével,POSTP
közepett,közepett,POSTP
közepette,közepette,POSTP
közt,közt,POSTP
közé,közé,POSTP
között,között,POSTP
között,között,POSTP
közül,közül,POSTP
lejártával,lejártával,POSTP
leteltével,leteltével,POSTP
láttán,láttán,POSTP
létrejöttével,létrejöttével,POSTP
létére,létére,POSTP
miatt,miatt,POSTP
mellett,mellett,POSTP
megelőzően,megelőzően,POSTP
megfelelően,megfelelően,POSTP
megfelelően,megfelelően,POSTP
mellett,mellett,POSTP
mellé,mellé,POSTP
mellől,mellől,POSTP
mentén,mentén,POSTP
miatt,miatt,POSTP
miá,miá,POSTP
mián,mián,POSTP
múltán,múltán,POSTP
mögé,mögé,POSTP
mögött,mögött,POSTP
mögül,mögül,POSTP
múltán,múltán,POSTP
múltával,múltával,POSTP
múlva,múlva,POSTP
múlván,múlván,POSTP
nevében,nevében,POSTP
nyomán,nyomán,POSTP
nélkül,nélkül,POSTP
nélkül,nélkül,POSTP
nézve,nézve,POSTP
nézvést,nézvést,POSTP
rovására,rovására,POSTP
részére,részére,POSTP
részéről,részéről,POSTP
révén,révén,POSTP
során,során,POSTP
szembe,szembe,POSTP
szemben,szemben,POSTP
szemközt,szemközt,POSTP
szerint,szerint,POSTP
szerint,szerint,POSTP
számára,számára,POSTP
tekintettel,tekintettel,POSTP
tetejébe,tetejébe,POSTP
tájban,tájban,POSTP
tájt,tájt,POSTP
táján,táján,POSTP
túl,túl,POSTP
túlmenően,túlmenően,POSTP
túlra,túlra,POSTP
túlról,túlról,POSTP
után,után,POSTP
után,után,POSTP
virradóan,virradóan,POSTP
virradólag,virradólag,POSTP
vonatkozólag,vonatkozólag,POSTP
végből,végből,POSTP
végett,végett,POSTP
végeztével,végeztével,POSTP
által,által,POSTP
át,át,POSTP
által,által,POSTP
érdekében,érdekében,POSTP
érdekében,érdekében,POSTP
ízben,ízben,POSTP
ízben,ízben,POSTP
óta,óta,POSTP
óta,óta,POSTP
útján,útján,POSTP
útján,útján,POSTP
által,által,POSTP
át,át,POSTP
érdekében,érdekében,POSTP
ízben,ízben,POSTP
óta,óta,POSTP
útján,útján,POSTP
útján,útján,POSTP
