word,stem,morphemes
abba,abba,PREV
agyon,agyon,PREV
alul,alul,PREV
alá,alá,PREV
be,be,PREV
bele,bele,PREV
bé,bé,PREV
békén,békén,PREV
cserben,cserben,PREV
egybe,egybe,PREV
egybe,egybe,PREV
egyet,egyet,PREV
együtt,együtt,PREV
el,el,PREV
ellen,ellen,PREV
ellent,ellent,PREV
elé,elé,PREV
elő,elő,PREV
előre,előre,PREV
fel,fel,PREV
felül,felül,PREV
fenn,fenn,PREV
félbe,félbe,PREV
félre,félre,PREV
föl,föl,PREV
földet,földet,PREV
följebb,följebb,PREV
fölé,fölé,PREV
haza,haza,PREV
helyben,helyben,PREV
helyre,helyre,PREV
helyt,helyt,PREV
hoppon,hoppon,PREV
hozzá,hozzá,PREV
hozzá,hozzá,PREV
hátra,hátra,PREV
ide,ide,PREV
jól,jól,PREV
jót,jót,PREV
jóvá,jóvá,PREV
karban,karban,PREV
keresztül,keresztül,PREV
ketté,ketté,PREV
ki,ki,PREV
kijjebb,kijjebb,PREV
kinn,kinn,PREV
kétségbe,kétségbe,PREV
kölcsön,kölcsön,PREV
körbe,körbe,PREV
körül,körül,PREV
közbe,közbe,PREV
közre,közre,PREV
közzé,közzé,PREV
külön,külön,PREV
le,le,PREV
le,le,PREV
létre,létre,PREV
meg,meg,PREV
mellé,mellé,PREV
nagyot,nagyot,PREV
nagyot,nagyot,PREV
neki,neki,PREV
nyilván,nyilván,PREV
oda,oda,PREV
ott,ott,PREV
pofon,pofon,PREV
pórul,pórul,PREV
rajta,rajta,PREV
rendre,rendre,PREV
rá,rá,PREV
szabadjára,szabadjára,PREV
szabadlábra,szabadlábra,PREV
szembe,szembe,PREV
szemre,szemre,PREV
szemügyre,szemügyre,PREV
szerte,szerte,PREV
számba,számba,PREV
széjjel,széjjel,PREV
széjjelebb,széjjelebb,PREV
szét,szét,PREV
szörnyet,szörnyet,PREV
síkra,síkra,PREV
tele,tele,PREV
teli,teli,PREV
torkig,torkig,PREV
tovább,tovább,PREV
tudomásul,tudomásul,PREV
tudtul,tudtul,PREV
tönkre,tönkre,PREV
túl,túl,PREV
utána,utána,PREV
utol,utol,PREV
utána,utána,PREV
vissza,vissza,PREV
végbe,végbe,PREV
véghez,véghez,PREV
végig,végig,PREV
végre,végre,PREV
zokon,zokon,PREV
zöldágra,zöldágra,PREV
által,által,PREV
át,át,PREV
által,által,PREV
át,át,PREV
észhez,észhez,PREV
észre,észre,PREV
észhez,észhez,PREV
észre,észre,PREV
óva,óva,PREV
őrizetlen,őrizetlen,PREV
őrizetlen,őrizetlen,PREV
össze,össze,PREV
össze,össze,PREV
össze,össze,PREV
újjá,újjá,PREV
újra,újra,PREV
újjá,újjá,PREV
útba,útba,PREV
által,által,PREV
át,át,PREV
észhez,észhez,PREV
észre,észre,PREV
óva,óva,PREV
őrizetlen,őrizetlen,PREV
össze,össze,PREV
újjá,újjá,PREV
újra,újra,PREV
útba,útba,PREV
