word,stem,morphemes
abcúg,abcúg,UTT-INT
addsza,addsza,UTT-INT
adieu,adieu,UTT-INT
adjonisten,adjonisten,UTT-INT
adta,adta,UTT-INT
agyő,agyő,UTT-INT
ah,ah,UTT-INT
aha,aha,UTT-INT
aham,aham,UTT-INT
ahá,ahá,UTT-INT
ahán,ahán,UTT-INT
aj,aj,UTT-INT
ajaj,ajaj,UTT-INT
ajjaj,ajjaj,UTT-INT
ajvé,ajvé,UTT-INT
alleluja,alleluja,UTT-INT
alászolgája,alászolgája,UTT-INT
aló,aló,UTT-INT
annyi,annyi,UTT-INT
au,au,UTT-INT
azám,azám,UTT-INT
aú,aú,UTT-INT
bah,bah,UTT-INT
bakfitty,bakfitty,UTT-INT
bakker,bakker,UTT-INT
bamm,bamm,UTT-INT
bamme,bamme,UTT-INT
beh,beh,UTT-INT
bim-bam,bim-bam,UTT-INT
bimm,bimm,UTT-INT
bizonyisten,bizonyisten,UTT-INT
bravó,bravó,UTT-INT
bá,bá,UTT-INT
ciao,ciao,UTT-INT
co,co,UTT-INT
coki,coki,UTT-INT
csaó,csaó,UTT-INT
csend,csend,UTT-INT
csiba,csiba,UTT-INT
csicsíja,csicsíja,UTT-INT
csigavér,csigavér,UTT-INT
csingilingi,csingilingi,UTT-INT
csiribí-csiribá,csiribí-csiribá,UTT-INT
csiribú-csiribá,csiribú-csiribá,UTT-INT
csitt,csitt,UTT-INT
csocsi,csocsi,UTT-INT
csuhaj,csuhaj,UTT-INT
csá,csá,UTT-INT
csá,csá,UTT-INT
csákó,csákó,UTT-INT
császtok,császtok,UTT-INT
csáó,csáó,UTT-INT
csók,csók,UTT-INT
cső,cső,UTT-INT
csősztök,csősztök,UTT-INT
csönd,csönd,UTT-INT
csüccs,csüccs,UTT-INT
curukk,curukk,UTT-INT
dehát,dehát,UTT-INT
dádá,dádá,UTT-INT
dícsértessék,dícsértessék,UTT-INT
e,e,UTT-INT
eh,eh,UTT-INT
egy-kettő,egy-kettő,UTT-INT
egykutya,egykutya,UTT-INT
egészség,egészség,UTT-INT
egészségedre,egészségedre,UTT-INT
egészségetekre,egészségetekre,UTT-INT
egészségére,egészségére,UTT-INT
egészségükre,egészségükre,UTT-INT
egészségünkre,egészségünkre,UTT-INT
eh,eh,UTT-INT
ej,ej,UTT-INT
ej-haj,ej-haj,UTT-INT
ejde,ejde,UTT-INT
ejej,ejej,UTT-INT
ejha,ejha,UTT-INT
ejnye,ejnye,UTT-INT
ejnye-bejnye,ejnye-bejnye,UTT-INT
ejnyebejnye,ejnyebejnye,UTT-INT
előre,előre,UTT-INT
ennyi,ennyi,UTT-INT
f,f,UTT-INT
fi,fi,UTT-INT
figyelem,figyelem,UTT-INT
finis,finis,UTT-INT
fuccs,fuccs,UTT-INT
fuj,fuj,UTT-INT
fujj,fujj,UTT-INT
fékomadta,fékomadta,UTT-INT
fú,fú,UTT-INT
fúj,fúj,UTT-INT
gyerünk,gyerünk,UTT-INT
gyí,gyí,UTT-INT
ha,ha,UTT-INT
hapci,hapci,UTT-INT
he,he,UTT-INT
hm,hm,UTT-INT
ha,ha,UTT-INT
ha-ha-ha,ha-ha-ha,UTT-INT
haa,haa,UTT-INT
hahó,hahó,UTT-INT
hajcsi,hajcsi,UTT-INT
hajrá,hajrá,UTT-INT
hali,hali,UTT-INT
halihó,halihó,UTT-INT
hallga,hallga,UTT-INT
halló,halló,UTT-INT
ham,ham,UTT-INT
hamm,hamm,UTT-INT
hapci,hapci,UTT-INT
happáré,happáré,UTT-INT
he,he,UTT-INT
helló,helló,UTT-INT
hej,hej,UTT-INT
hejnye,hejnye,UTT-INT
helló,helló,UTT-INT
hellósztok,hellósztok,UTT-INT
heló,heló,UTT-INT
hess,hess,UTT-INT
heuréka,heuréka,UTT-INT
hinnye,hinnye,UTT-INT
hinta-palinta,hinta-palinta,UTT-INT
hisz,hisz,UTT-INT
hja,hja,UTT-INT
hjaj,hjaj,UTT-INT
hm,hm,UTT-INT
hmm,hmm,UTT-INT
hoci,hoci,UTT-INT
hogyisne,hogyisne,UTT-INT
hogyne,hogyne,UTT-INT
hohoho,hohoho,UTT-INT
hohohó,hohohó,UTT-INT
hohó,hohó,UTT-INT
holla,holla,UTT-INT
hopp,hopp,UTT-INT
hoppla,hoppla,UTT-INT
hoppsza,hoppsza,UTT-INT
hoppá,hoppá,UTT-INT
hoppáré,hoppáré,UTT-INT
hozsanna,hozsanna,UTT-INT
hu,hu,UTT-INT
huh,huh,UTT-INT
huhu,huhu,UTT-INT
huhú,huhú,UTT-INT
huj,huj,UTT-INT
huj-huj,huj-huj,UTT-INT
huja,huja,UTT-INT
